市区町村コード,Level1_Name,Level2_Name,都道府県,市区町村,市区町村詳細,緯度,経度
21218,岐阜県本巣市,岐阜県本巣市,岐阜県,本巣市,NA,35.483047,136.678766
21219,岐阜県郡上市,岐阜県郡上市,岐阜県,郡上市,NA,35.748577,136.964354
21220,岐阜県下呂市,岐阜県下呂市,岐阜県,下呂市,NA,35.805882,137.2441
21221,岐阜県海津市,岐阜県海津市,岐阜県,海津市,NA,35.220492,136.636662
21302,岐阜県羽島郡,岐阜県羽島郡岐南町,岐阜県,羽島郡,岐南町,35.389722,136.783317
21303,岐阜県羽島郡,岐阜県羽島郡笠松町,岐阜県,羽島郡,笠松町,35.3672,136.763167
21341,岐阜県養老郡,岐阜県養老郡養老町,岐阜県,養老郡,養老町,35.308333,136.561555
21361,岐阜県不破郡,岐阜県不破郡垂井町,岐阜県,不破郡,垂井町,35.370254,136.527102
21362,岐阜県不破郡,岐阜県不破郡関ケ原町,岐阜県,不破郡,関ケ原町,35.365517,136.466982
21381,岐阜県安八郡,岐阜県安八郡神戸町,岐阜県,安八郡,神戸町,35.417368,136.608459
21382,岐阜県安八郡,岐阜県安八郡輪之内町,岐阜県,安八郡,輪之内町,35.285108,136.637435
21383,岐阜県安八郡,岐阜県安八郡安八町,岐阜県,安八郡,安八町,35.335391,136.665409
21401,岐阜県揖斐郡,岐阜県揖斐郡揖斐川町,岐阜県,揖斐郡,揖斐川町,35.487309,136.568653
21403,岐阜県揖斐郡,岐阜県揖斐郡大野町,岐阜県,揖斐郡,大野町,35.470614,136.627552
21404,岐阜県揖斐郡,岐阜県揖斐郡池田町,岐阜県,揖斐郡,池田町,35.442259,136.572926
21421,岐阜県本巣郡,岐阜県本巣郡北方町,岐阜県,本巣郡,北方町,35.436948,136.685967
21501,岐阜県加茂郡,岐阜県加茂郡坂祝町,岐阜県,加茂郡,坂祝町,35.426662,136.985459
21502,岐阜県加茂郡,岐阜県加茂郡富加町,岐阜県,加茂郡,富加町,35.484883,136.979824
21503,岐阜県加茂郡,岐阜県加茂郡川辺町,岐阜県,加茂郡,川辺町,35.486579,137.070608
21504,岐阜県加茂郡,岐阜県加茂郡七宗町,岐阜県,加茂郡,七宗町,35.543724,137.119833
21505,岐阜県加茂郡,岐阜県加茂郡八百津町,岐阜県,加茂郡,八百津町,35.475952,137.141502
21506,岐阜県加茂郡,岐阜県加茂郡白川町,岐阜県,加茂郡,白川町,35.581859,137.187824
21507,岐阜県加茂郡,岐阜県加茂郡東白川村,岐阜県,加茂郡,東白川村,35.642561,137.323751
21521,岐阜県可児郡,岐阜県可児郡御嵩町,岐阜県,可児郡,御嵩町,35.434245,137.13079
21604,岐阜県大野郡,岐阜県大野郡白川村,岐阜県,大野郡,白川村,36.270806,136.898478
22101,静岡県静岡市,静岡県静岡市葵区,静岡県,静岡市,葵区,34.97514,138.383243
22102,静岡県静岡市,静岡県静岡市駿河区,静岡県,静岡市,駿河区,34.960745,138.404039
22103,静岡県静岡市,静岡県静岡市清水区,静岡県,静岡市,清水区,35.015888,138.489528
22131,静岡県浜松市,静岡県浜松市中区,静岡県,浜松市,中区,34.710896,137.72594
22132,静岡県浜松市,静岡県浜松市東区,静岡県,浜松市,東区,34.741325,137.791772
22133,静岡県浜松市,静岡県浜松市西区,静岡県,浜松市,西区,34.69271,137.645317
22134,静岡県浜松市,静岡県浜松市南区,静岡県,浜松市,南区,34.667333,137.7523
22135,静岡県浜松市,静岡県浜松市北区,静岡県,浜松市,北区,34.806193,137.651023
22136,静岡県浜松市,静岡県浜松市浜北区,静岡県,浜松市,浜北区,34.793372,137.789925
22137,静岡県浜松市,静岡県浜松市天竜区,静岡県,浜松市,天竜区,34.872649,137.816265
22203,静岡県沼津市,静岡県沼津市,静岡県,沼津市,NA,35.095584,138.863493
22205,静岡県熱海市,静岡県熱海市,静岡県,熱海市,NA,35.096276,139.071705
22206,静岡県三島市,静岡県三島市,静岡県,三島市,NA,35.118402,138.918513
22207,静岡県富士宮市,静岡県富士宮市,静岡県,富士宮市,NA,35.222054,138.621643
22208,静岡県伊東市,静岡県伊東市,静岡県,伊東市,NA,34.965671,139.101936
22209,静岡県島田市,静岡県島田市,静岡県,島田市,NA,34.836364,138.175997
22210,静岡県富士市,静岡県富士市,静岡県,富士市,NA,35.161399,138.676273
22211,静岡県磐田市,静岡県磐田市,静岡県,磐田市,NA,34.717904,137.851513
22212,静岡県焼津市,静岡県焼津市,静岡県,焼津市,NA,34.86692,138.323189
